brand,market,fx_year,concatenate,cbht_report_source,brand_league,source_of_truth,notes,status,added_by,added_at
1664 Other,Hong Kong,2024,1664 Other_Hong Kong_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Hong Kong,2025,1664 Other_Hong Kong_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Hungary,2025,1664 Other_Hungary_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Other,India,2025,1664 Other_India_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Other,Latvia,2024,1664 Other_Latvia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Lithuania,2025,1664 Other_Lithuania_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Other,Malaysia,2024,1664 Other_Malaysia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Malaysia,2025,1664 Other_Malaysia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Norway,2024,1664 Other_Norway_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Norway,2025,1664 Other_Norway_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Singapore,2024,1664 Other_Singapore_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Singapore,2025,1664 Other_Singapore_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,South Korea,2024,1664 Other_South Korea_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Ukraine,2024,1664 Other_Ukraine_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Ukraine,2025,1664 Other_Ukraine_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Market Study,,,
1664 Other,United Kingdom,2024,1664 Other_United Kingdom_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,United Kingdom,2025,1664 Other_United Kingdom_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Aldaris,Cambodia,2025,Aldaris_Cambodia_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Aldaris,Latvia,2024,Aldaris_Latvia_2024,FY23 C-BHT,Lead,Carlsberg Insights Hub,in Beer study,,,
Aldaris,Latvia,2025,Aldaris_Latvia_2025,FY24 C-BHT,Lead,Carlsberg Insights Hub,in Beer study,,,
Angkor,Cambodia,2024,Angkor_Cambodia_2024,FY23 C-BHT,Lead,Carlsberg Insights Hub,in Beer study,,,
Angkor,Cambodia,2025,Angkor_Cambodia_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Market Study,,,
Apotekarnes,Sweden,2024,Apotekarnes_Sweden_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in CSD study,,,
Apotekarnes,Sweden,2025,Apotekarnes_Sweden_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in CSD study,,,
Arsenal,Ukraine,2025,Arsenal_Ukraine_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Astra,Germany,2024,Astra_Germany_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Astra,Germany,2025,Astra_Germany_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Bacardi,Denmark,2024,Bacardi_Denmark_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bacardi,Denmark,2025,Bacardi_Denmark_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,,,,
Bacardi,Finland,2024,Bacardi_Finland_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bacardi,Finland,2025,Bacardi_Finland_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bacardi,Norway,2024,Bacardi_Norway_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bacardi,Norway,2025,Bacardi_Norway_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bacardi Breezer,Finland,2025,Bacardi Breezer_Finland_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,In Long Drinks Study,,,
Bacardi Breezer,Sweden,2025,Bacardi Breezer_Sweden_2025,FY24 C-BHT,Lead,Carlsberg Insights Hub,In RTD study,,,
Backyard Brew,Sweden,2024,Backyard Brew_Sweden_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Backyard Brew,Sweden,2025,Backyard Brew_Sweden_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Backyard Brewery,Sweden,2024,Backyard Brewery_Sweden_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Backyard Brewery,Sweden,2025,Backyard Brewery_Sweden_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
